Rank,Team,Player,Fantsy Position,Games,Bye,SOS,InjuryRisk,Consensus ProjCons Proj,DS Proj,AuctionMarketValue,DS AuctionValue,3D Value
66,LAC,Justin Herbert,QB,17,7,-2.8%,36%,301,314.50,13.00,14.00,31.50
67,ARI,Marvin Harrison Jr.,WR,17,14,-0.8%,55%,122,163.90,13.00,14.00,31.30
68,NO,Travis Etienne,RB,17,8,1.8%,45%,177,209.30,17.00,16.00,31.00
69,DAL,Dak Prescott,QB,17,14,0.5%,34%,301,313.10,13.00,14.00,30.80
70,SF,Brock Purdy,QB,17,8,-4%,36%,300,313.60,13.00,14.00,30.60
71,SF,George Kittle,TE,16,8,-3.6%,44%,113,151.10,12.00,13.00,30.20
72,JAC,Brian Thomas Jr.,WR,17,7,4%,35%,113,158.40,12.00,13.00,29.60
73,DEN,Courtland Sutton,WR,17,10,-2.5%,43%,118,164.90,12.00,13.00,29.50
74,NYG,Jaxson Dart,QB,17,8,4.8%,36%,300,306.60,13.00,14.00,29.30
75,GB,Jayden Reed,WR,17,11,1.3%,36%,105,164.60,12.00,13.00,29.20
76,NO,Jordyn Tyson,WR,17,8,0.9%,45%,111,160.10,12.00,13.00,28.90
77,ATL,Kyle Pitts,TE,17,11,4.8%,53%,104,148.20,14.00,14.00,28.60
78,CHI,D'Andre Swift,RB,17,10,-3.6%,42%,169,206.60,14.00,14.00,28.50
79,NYG,Cameron Skattebo,RB,17,8,2.2%,72%,172,207.00,19.00,16.00,28.20
80,MIN,Jordan Addison,WR,17,6,4.9%,37%,107,161.80,11.00,12.00,28.00
81,DEN,Bo Nix,QB,17,10,-3.7%,28%,290,300.20,11.00,12.00,27.50
82,LAC,Quentin Johnston,WR,17,7,-2.6%,56%,101,157.90,11.00,12.00,27.40
83,HOU,David Montgomery,RB,17,8,2%,85%,161,196.00,11.00,12.00,26.90
84,KC,Patrick Mahomes,QB,17,5,-3.2%,37%,292,296.70,11.00,12.00,26.90
85,IND,Alec Pierce,WR,16,13,-0.8%,67%,127,158.60,14.00,13.00,26.00
86,PIT,Michael Pittman Jr.,WR,17,9,-2.6%,60%,109,160.80,11.00,12.00,25.70
87,TB,Bucky Irving,RB,17,10,-2.2%,63%,163,189.70,16.00,13.00,24.90
88,DET,Jared Goff,QB,17,6,-0.9%,23%,281,292.40,10.00,11.00,24.70
89,JAC,Jakobi Meyers,WR,17,7,4%,37%,103,156.40,10.00,11.00,24.70
90,CLE,Quinshon Judkins,RB,17,11,0.6%,48%,175,186.30,16.00,13.00,24.60
91,IND,Josh Downs,WR,17,13,-0.8%,61%,94,155.00,10.00,11.00,24.60
92,KC,Xavier Worthy,WR,17,5,-2.6%,35%,100,152.20,10.00,11.00,24.30
93,GB,Jordan Love,QB,17,11,-0.3%,82%,275,286.00,9.00,10.00,23.30
