Salary Cap Values for River City #2
Overall,Bye Week,VALUES,Tags,Expert Notes,,QB,Bye Week,VALUES,Tags,Expert Notes,,RB,Bye Week,VALUES,Tags,Expert Notes,,WR,Bye Week,VALUES,Tags,Expert Notes,,TE,Bye Week,VALUES,Tags,Expert Notes,,K,Bye Week,VALUES,Tags,Expert Notes,,DST,Bye Week,VALUES,Tags,Expert Notes,,DB,Bye Week,VALUES,Tags,Expert Notes,,
Chris Olave (WR - NO),8,$32,,,,Daniel Jones - IND,13,$2,,,,Bucky Irving - TB,10,$19,,,,Ladd McConkey - LAC,7,$18,,,,T.J. Hockenson - MIN,6,$2,,,,Charlie Smyth - NO,8,$0,,,,Tennessee Titans,9,$0,,,,,,,,,,
Saquon Barkley (RB - PHI),10,$31,,,,Malik Willis - MIA,6,$1,,,,Quinshon Judkins - CLE,11,$17,,,,Rome Odunze - CHI,10,$18,,,,Pat Freiermuth - PIT,9,$2,,,,Drew Stevens - WAS,7,$0,,,,Green Bay Packers,11,$0,,,,,,,,,,
Nico Collins (WR - HOU),8,$30,,,,Jordan Love - GB,11,$1,,,,Bhayshul Tuten - JAC,7,$16,,,,Terry McLaurin - WAS,7,$16,,,,Greg Dulcich - MIA,6,$2,,,,Jake Elliott - PHI,10,$0,,,,Washington Commanders,7,$0,,,,,,,,,,
Kenneth Walker III (RB - KC),5,$28,,,,Sam Darnold - SEA,11,$0,,,,David Montgomery - HOU,8,$13,,,,Alec Pierce - IND,13,$15,,,,Kenyon Sadiq - NYJ,13,$2,,,,Andy Borregales - NE,11,$0,,,,Indianapolis Colts,13,$0,,,,,,,,,,
Zay Flowers (WR - BAL),13,$28,,,,C.J. Stroud - HOU,8,$0,,,,Tony Pollard - TEN,9,$12,,,,DJ Moore - BUF,7,$15,,,,Cade Otton - TB,10,$1,,,,Chris Boswell - PIT,9,$0,,,,Kansas City Chiefs,5,$0,,,,,,,,,,
Colston Loveland (TE - CHI),10,$28,,,,Bryce Young - CAR,5,$0,,,,Jadarian Price - SEA,11,$12,,,,Jaylen Waddle - DEN,10,$15,,,,AJ Barner - SEA,11,$0,,,,Jason Sanders - NYJ,13,$0,,,,New York Giants,8,$0,,,,,,,,,,
Josh Jacobs (RB - GB),11,$27,,,,Jacoby Brissett - ARI,14,$0,,,,Jaylen Warren - PIT,9,$12,,,,Luther Burden III - CHI,10,$14,,,,Chig Okonkwo - WAS,7,$0,,,,Jake Moody - WAS,7,$0,,,,Dallas Cowboys,14,$0,,,,,,,,,,
Breece Hall (RB - NYJ),13,$26,,,,Cam Ward - TEN,9,$0,,,,Rico Dowdle - PIT,9,$11,,,,Mike Evans - SF,8,$14,,,,Terrance Ferguson - LAR,11,$0,,,,Riley Patterson - MIA,6,$0,,,,Miami Dolphins,6,$0,,,,,,,,,,
Omarion Hampton (RB - LAC),7,$26,,,,Geno Smith - NYJ,13,$0,,,,Rhamondre Stevenson - NE,11,$10,,,,Christian Watson - GB,11,$13,,,,Oronde Gadsden II - LAC,7,$0,,,,Joey Slye - TEN,9,$0,,,,Las Vegas Raiders,13,$0,,,,,,,,,,
Jeremiyah Love (RB - ARI),14,$26,,,,Aaron Rodgers - PIT,9,$0,,,,Chuba Hubbard - CAR,5,$10,,,,Courtland Sutton - DEN,10,$12,,,,Mike Gesicki - CIN,6,$0,,,,Chad Ryland - ARI,14,$0,,,,Arizona Cardinals,14,$0,,,,,,,,,,
Malik Nabers (WR - NYG),8,$26,,,,Fernando Mendoza - LV,13,$0,,,,J.K. Dobbins - DEN,10,$10,,,,Marvin Harrison Jr. - ARI,14,$12,,,,Evan Engram - DEN,10,$0,,,,,,,,,,San Francisco 49ers,8,$0,,,,,,,,,,
Kyren Williams (RB - LAR),11,$24,,,,Tua Tagovailoa - ATL,11,$0,,,,RJ Harvey - DEN,10,$9,,,,DK Metcalf - PIT,9,$12,,,,Darren Waller - CAR,5,$0,,,,,,,,,,Carolina Panthers,5,$0,,,,,,,,,,
Garrett Wilson (WR - NYJ),13,$24,,,,Deshaun Watson - CLE,11,$0,,,,Rachaad White - WAS,7,$9,,,,Parker Washington - JAC,7,$8,,,,Gunnar Helm - TEN,9,$0,,,,,,,,,,New York Jets,13,$0,,,,,,,,,,
DeVonta Smith (WR - PHI),10,$24,,,,Shedeur Sanders - CLE,11,$0,,,,Kyle Monangai - CHI,10,$8,,,,Brian Thomas Jr. - JAC,7,$8,,,,Mason Taylor - NYJ,13,$0,,,,,,,,,,,,,,,,,,,,,,
Tetairoa McMillan (WR - CAR),5,$24,,,,,,,,,,Aaron Jones Sr. - MIN,6,$8,,,,Michael Pittman Jr. - PIT,9,$8,,,,David Njoku - LAC,7,$0,,,,,,,,,,,,,,,,,,,,,,
Cam Skattebo (RB - NYG),8,$23,,,,,,,,,,Kenny Gainwell - TB,10,$8,,,,Carnell Tate - TEN,9,$7,,,,Colby Parkinson - LAR,11,$0,,,,,,,,,,,,,,,,,,,,,,
Emeka Egbuka (WR - TB),10,$23,,,,,,,,,,Jacory Croskey-Merritt - WAS,7,$7,,,,Jayden Reed - GB,11,$6,,,,Michael Mayer - LV,13,$0,,,,,,,,,,,,,,,,,,,,,,
Tyler Warren (TE - IND),13,$23,,,,,,,,,,Jonathon Brooks - CAR,5,$7,,,,Jakobi Meyers - JAC,7,$6,,,,Dawson Knox - BUF,7,$0,,,,,,,,,,,,,,,,,,,,,,
Javonte Williams (RB - DAL),14,$22,,,,,,,,,,Blake Corum - LAR,11,$7,,,,Deebo Samuel Sr. - SF,8,$6,,,,Theo Johnson - NYG,8,$0,,,,,,,,,,,,,,,,,,,,,,
Davante Adams (WR - LAR),11,$22,,,,,,,,,,Jordan Mason - MIN,6,$7,,,,Quentin Johnston - LAC,7,$5,,,,Darnell Washington - PIT,9,$0,,,,,,,,,,,,,,,,,,,,,,
Tee Higgins (WR - CIN),6,$21,,,,,,,,,,Alvin Kamara - NO,8,$5,,,,Michael Wilson - ARI,14,$5,,,,Tyler Higbee - LAR,11,$0,,,,,,,,,,,,,,,,,,,,,,
Kyle Pitts Sr. (TE - ATL),11,$21,,,,,,,,,,Tyjae Spears - TEN,9,$5,,,,Chris Godwin Jr. - TB,10,$5,,,,Cole Kmet - CHI,10,$0,,,,,,,,,,,,,,,,,,,,,,
Travis Etienne Jr. (RB - NO),8,$20,,,,,,,,,,Zach Charbonnet - SEA,11,$5,,,,Jordan Addison - MIN,6,$5,,,,Noah Fant - NO,8,$0,,,,,,,,,,,,,,,,,,,,,,
Jameson Williams (WR - DET),6,$20,,,,,,,,,,Woody Marks - HOU,8,$4,,,,Jordyn Tyson - NO,8,$5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamar Jackson (QB - BAL),13,$19,,,,,,,,,,Tyrone Tracy Jr. - NYG,8,$4,,,,Wan'Dale Robinson - TEN,9,$5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D'Andre Swift (RB - CHI),10,$19,,,,,,,,,,Isiah Pacheco - DET,6,$4,,,,Xavier Worthy - KC,5,$5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bucky Irving (RB - TB),10,$19,,,,,,,,,,Justice Hill - BAL,13,$3,,,,Josh Downs - IND,13,$5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Hurts (QB - PHI),10,$18,,,,,,,,,,Chris Rodriguez Jr. - JAC,7,$2,,,,Matthew Golden - GB,11,$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drake Maye (QB - NE),11,$18,,,,,,,,,,Dylan Sampson - CLE,11,$2,,,,KC Concepcion - CLE,11,$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayden Daniels (QB - WAS),7,$18,,,,,,,,,,Brian Robinson Jr. - ATL,11,$2,,,,Stefon Diggs - WAS,7,$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ladd McConkey (WR - LAC),7,$18,,,,,,,,,,AJ Dillon - CAR,5,$2,,,,Rashid Shaheed - SEA,11,$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rome Odunze (WR - CHI),10,$18,,,,,,,,,,Samaje Perine - CIN,6,$1,,,,Romeo Doubs - NE,11,$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harold Fannin Jr. (TE - CLE),11,$18,,,,,,,,,,Tyler Allgeier - ARI,14,$1,,,,Khalil Shakir - BUF,7,$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinshon Judkins (RB - CLE),11,$17,,,,,,,,,,Ty Johnson - BUF,7,$1,,,,Makai Lemon - PHI,10,$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam LaPorta (TE - DET),6,$17,,,,,,,,,,Jordan James - SF,8,$1,,,,Calvin Ridley - TEN,9,$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhayshul Tuten (RB - JAC),7,$16,,,,,,,,,,Tank Bigsby - PHI,10,$0,,,,Jalen Coker - CAR,5,$3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terry McLaurin (WR - WAS),7,$16,,,,,,,,,,Braelon Allen - NYJ,13,$0,,,,Rashod Bateman - BAL,13,$2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
