"Rank","Name","Team","Pos","Pos","Avg","Sleeper","ESPN","Yahoo","Underdog"
"[object Object]","Marvin Harrison Jr.","ARI","WR","WR","7.04","7.02","8.02","7.07","6.07"
"[object Object]","Parker Washington","JAX","WR","WR","7.05","6.12","8.11","7.10","5.09"
"[object Object]","Kyle Pitts Sr.","ATL","TE","TE","7.05","6.10","6.05","7.01","9.05"
"[object Object]","Caleb Williams","CHI","QB","QB","7.05","7.03","8.08","6.08","7.01"
"[object Object]","Rhamondre Stevenson","NE","RB","RB","7.06","7.04","7.12","7.08","6.09"
"[object Object]","Jaylen Warren","PIT","RB","RB","7.07","6.09","9.03","7.05","6.10"
"[object Object]","Brian Thomas Jr.","JAX","WR","WR","7.09","6.11","9.07","7.12","6.05"
"[object Object]","Dak Prescott","DAL","QB","QB","7.09","7.12","8.01","7.02","7.08"
"[object Object]","DK Metcalf","PIT","WR","WR","7.09","7.07","8.03","8.02","7.02"
"[object Object]","Harold Fannin Jr.","CLE","TE","TE","7.10","7.03","7.03","6.11","9.09"
"[object Object]","Justin Herbert","LAC","QB","QB","8.01","7.09","9.11","6.10","7.12"
"[object Object]","Courtland Sutton","DEN","WR","WR","8.03","7.11","7.08","9.07","7.11"
"[object Object]","Tony Pollard","TEN","RB","RB","8.03","7.08","9.11","8.02","7.06"
"[object Object]","Rico Dowdle","PIT","RB","RB","8.06","7.11","9.08","8.03","7.12"
"[object Object]","Trevor Lawrence","JAX","QB","QB","8.06","9.02","8.09","8.01","8.02"
"[object Object]","Jaxson Dart","NYG","QB","QB","8.08","9.05","7.04","8.04","9.08"
"[object Object]","Jonathon Brooks","CAR","RB","RB","8.11","8.05","10.09","9.01","7.04"
"[object Object]","Chuba Hubbard","CAR","RB","RB","8.11","7.05","11.02","7.12","9.02"
"[object Object]","George Kittle","SF","TE","TE","8.11","8.04","8.11","8.03","10.04"
"[object Object]","Alec Pierce","IND","WR","WR","8.12","9.01","9.06","8.08","8.12"
"[object Object]","Michael Wilson","ARI","WR","WR","9.01","8.05","9.08","9.07","8.07"
"[object Object]","J.K. Dobbins","DEN","RB","RB","9.03","8.01","10.09","9.01","8.12"
"[object Object]","Matthew Stafford","LAR","QB","QB","9.03","9.10","7.08","9.05","10.03"
"[object Object]","Travis Kelce","KC","TE","TE","9.06","8.11","9.01","8.10","11.03"
"[object Object]","Bo Nix","DEN","QB","QB","9.07","10.11","8.03","9.04","9.10"
"[object Object]","RJ Harvey","DEN","RB","RB","9.07","7.10","12.07","9.08","8.04"
"[object Object]","Patrick Mahomes","KC","QB","QB","9.08","10.02","9.11","9.04","9.01"
"[object Object]","Michael Pittman Jr.","PIT","WR","WR","9.08","9.09","8.07","10.12","9.05"
"[object Object]","Blake Corum","LAR","RB","RB","9.08","8.10","12.05","9.04","8.03"
